,edad,fnlwgt,educacion_num,estado_civil,relacion,raza,genero,ganancia-capital,perdida-capital,horas_semana,pais,tipo_empleo,salario
0,39,77516,13,1,1,4,1,1,0,40,1,0,1
1,50,83311,13,0,0,4,1,0,0,13,1,2,1
2,38,215646,9,1,1,4,1,0,0,40,1,1,1
3,53,234721,7,0,0,2,1,0,0,40,1,1,1
4,28,338409,13,0,5,2,0,0,0,40,0,1,1
5,37,284582,14,0,5,4,0,0,0,40,1,1,1
6,49,160187,5,1,1,2,0,0,0,16,0,1,1
7,52,209642,9,0,0,4,1,0,0,45,1,2,0
8,31,45781,14,1,1,4,0,1,0,50,1,1,0
9,42,159449,13,0,0,4,1,1,0,40,1,1,0
10,37,280464,10,0,0,2,1,0,0,80,1,1,0
11,30,141297,13,0,0,1,1,0,0,40,0,0,0
12,23,122272,13,1,3,4,0,0,0,30,1,1,1
13,32,205019,12,1,1,2,1,0,0,50,1,1,1
14,40,121772,11,0,0,1,1,0,0,40,0,1,0
15,34,245487,4,0,0,0,1,0,0,45,0,1,1
16,25,176756,9,1,3,4,1,0,0,35,1,2,1
17,32,186824,9,1,4,4,1,0,0,40,1,1,1
18,38,28887,7,0,0,4,1,0,0,50,1,1,1
19,43,292175,14,1,4,4,0,0,0,45,1,2,0
20,40,193524,16,0,0,4,1,0,0,60,1,1,0
21,54,302146,9,1,4,2,0,0,0,20,1,1,1
22,35,76845,5,0,0,2,1,0,0,40,1,0,1
23,43,117037,7,0,0,4,1,0,1,40,1,1,1
24,59,109015,9,1,4,4,0,0,0,40,1,1,1
25,56,216851,13,0,0,4,1,0,0,40,1,0,0
26,19,168294,9,1,3,4,1,0,0,40,1,1,1
27,54,180211,10,0,0,1,1,0,0,60,0,3,0
28,39,367260,9,1,1,4,1,0,0,80,1,1,1
29,49,193366,9,0,0,4,1,0,0,40,1,1,1
30,23,190709,12,1,1,4,1,0,0,52,1,0,1
31,20,266015,10,1,3,2,1,0,0,44,1,1,1
32,45,386940,13,1,3,4,1,0,1,40,1,1,1
33,30,59951,10,0,3,4,1,0,0,40,1,0,1
34,22,311512,10,0,0,2,1,0,0,15,1,0,1
35,48,242406,7,1,4,4,1,0,0,40,0,1,1
